name,total_contributions
Cole Automotive Group,16600
Hemenway & Barnes,16500
Husch Blackwell LLP,16500
DISH Network,16500
University of Missouri,16462
Performance Contractors Inc,16450
Concordance Academy,16400
American Dehydrated Foods,16400
Innovative Defense Technologies,16400
Ward & Smith,16350
Analysis & Measurement Services,16300
Affinity Living Group,16300
Florida Transportation Builders Assn,16300
"Lippes, Mathias et al",16275
GlaxoSmithKline,16254
Contura Energy,16250
Tti Inc,16200
Newcastle Construction,16200
Fresh Start Produce Sales,16200
Codina Group,16200
Santa Clarita Concrete,16200
Hathaway Investment Properties,16200
Heritage Insurance,16200
Sandlian Realty,16200
Fun Spot America,16200
Kessler Group,16200
Johnsonville Sausage,16200
G&S Holdings,16200
Murfin Drilling,16200
Sunshine Gasoline Distributors,16200
Four Seasons Produce,16200
Drury Dev,16200
Red Wing Publishing,16200
Blumberg Capital,16200
Park Square Realty,16200
Big Apple Inc,16200
CM Tucker Lumber,16200
Rex Lumber Co,16200
Anderson Columbia Co,16200
Farmer Co,16200
NGL Energy Partners,16200
Taylor Enterprises,16200
Digestive & Liver Center of Florida,16200
Commonwealth of Massachusetts,16131
US Dept of Veterans Affairs,16124
Atex Technologies,16000
Texans for Jodey Arrington,16000
Mainline,16000
Hanger Inc,16000
LKQ Corp,16000
Bainbridge Companies,16000
Blue Cross/Blue Shield of South Carolina,16000
Cheniere Energy,16000
Rail Management Corp,16000
US Oncology,16000
Bay Fabrication,15975
Lone Star Life Insurance,15900
Holtzman Oil,15800
Vess Oil Corp,15800
Welldyne Inc,15800
Nixon Peabody LLP,15775
Kaiser Permanente,15748
Hutton Construction,15700
Xcel Energy,15604
Admiral Parkway,15600
Savoy Exploration,15600
Connolly Coastal Capital,15600
Holiday Inns,15600
Hohlt Group,15600
Fort Worth Oral Surgery,15600
Sintavia,15600
Tts Advisors Pte Ltd,15600
Tudor Investment,15600
Jupiter Medical Group,15600
North American Rescue Products,15600
Lifeyield,15600
Savoy Energy,15600
Bergen Enterprises,15600
Jerry Reinsdorf/Chicago Bulls/White Sox,15600
Jerry Durant Auto Group,15600
Route One Investment,15600
Wenger Feeds,15600
Ohio-West Virginia Excavating,15600
Harvey Gulf International Marine,15600
Ls Energia,15600
Mh Massey & Co,15600
Stanbridge College,15600
Trident PAC,15600
Collums Lumber,15600
Anthem Inc,15580
Chubb INA,15500
CTIA,15500
United Egg Assn,15500
Red Maple Consulting,15400
Newton Farms,15400
Land O'Lakes,15300
Erie Management Group,15300
Butler Snow LLP,15250
Republican Party of California,15200
Bay Electric,15200
First Long Island Investors,15200
Small Business Investor Alliance,15100
Brady PAC,15100
Alamo PAC,15000
American Conservative Union,15000
Seaboard Corp,15000
Blackrock Funds Services Group,15000
National Pro-Life Alliance,15000
Machinists/Aerospace Workers Union,15000
Travelers Companies,15000
Eureka PAC,15000
Fund for a Conservative Future,15000
Degreen Capital Management,15000
Summit Hospitality Group,15000
Kreider Farms,15000
Bricklayers Union,15000
Border Health,15000
Farmer Mac,15000
Clos De La Tech,15000
Desert Caucus,15000
Direct Supply Inc,15000
Vote to Elect Republicans Now PAC,15000
Citizens Organized PAC,15000
National Corn Growers Assn,15000
New Majority PAC,15000
Tenacious PAC,15000
Apr Supply Co,15000
Endo Pharmaceuticals,15000
Celanese Corp,15000
Lincoln Club of Orange County,15000
Bass Brothers Enterprises,15000
Herbalife Nutrition,15000
Mercy,14925
Elwood Staffing,14916
Kroger Co,14861
Baur Properties,14800
TA Solberg Co,14800
Greenheck Fan Corp,14750
Sullivan Interests,14732
Tunica-Biloxi Tribe of Louisiana,14700
Edison Chouest Offshore,14700
Sierra Investments,14600
Lowenstein Sandler Llp,14600
Pennsylvania General Energy,14600
Proskauer Rose,14500
Schwan's Co,14500
American Society for Radiation Oncology,14500
Maxar Technologies,14500
Federation of American Hospitals,14500
American Congress of Obstetricians & Gynecologists,14500
Intellectual Ventures LLC,14500
Mary Kay Holding Corp,14493
City Bank,14450
University of California,14364
Timken Co,14300
Preston Development,14300
Smith Transport,14300
New Enterprise Stone & Lime,14300
Kennedy for Massachusetts,14217
P&B Insurance Agency,14200
Clawson Farms,14200
Southeastern Freight Lines,14200
American Fidelity Corp,14200
Zurich Insurance Group,14185
United Dairy Farmers,14150
CBRE Group,14050
Crain Ranch,14000
Melton Truck Lines,14000
Swim Line,14000
Painters & Allied Trades Union,14000
Riceland Foods,14000
Daniels Manufacturing,14000
Cozen O'Connor,14000
Nutramax Laboratories,14000
Grand Design Rv,14000
Linlo Properties,14000
Bnmc,14000
Barclays Group US,14000
Poovey Law Firm,14000
Navient Corp,14000
Farm Bureau Insurance,14000
Maxir Corp,14000
Hometown Lenders,14000
Eagle Seven LLC,14000
Boston Bruins,14000
Manor House Designs,14000
BPC Corp,14000
Truck Country,14000
Southern Minn Beet Sugar Co-Op,14000
East Management Services Lp,14000
Hodgson & Russ,14000
Starkey Hearing Technologies,14000
Howard Concrete Pumping Co,14000
North American Properties,14000
Lad Services,14000
Savarino Companies,14000
Montna Farms,13998
Atb Travel,13990
State of California,13961
Valentine Research,13900
Liberty Fund,13900
Arylessence Inc,13900
Pitlik Wick,13850
Randy Marion Automotive Group,13800
Highfields Capital Management,13800
Hunt Development,13800
Medical Supply Solutions,13700
O'Reilly Auto Parts,13700
US Acute Care Solutions,13700
Martins Famous Pastry Shoppe,13700
Osc Inc,13700
Wichita Railway Service,13700
Src Holdings,13700
Integrated Medical Professionals,13700
Gulf & Ohio Railways,13700
Automatic Data Processing Inc,13700
Dewey Square Group,13616
Tufts University,13602
Granite Telecommunications,13545
Electronic Transactions Assn,13500
JR Simplot Co,13500
American Institute of Architects,13500
Turkish American Heritage PAC,13500
Securities Industry & Financial Mkt Assn,13500
Cassidy & Assoc,13500
Long Trail Brewing Co,13500
Guardian Fund,13500
Community Antenna Service,13500
Matthews Construction,13500
Bernards,13400
McRight Services LLC,13400
Levi Strauss & Co,13400
Clarke Capital Partners,13400
Pathway Services,13400
Miller Center for Rec,13400
Aronov Realty Management,13400
Dos Cuadras Offshore Resources,13400
Klean Corp International,13400
Bank of Putnam County,13400
Direct Wire & Cable,13400
Blackhawk Minerals LLC,13400
Henry Crown & Co,13400
Terra Linda Farms,13400
Endeavor Enterprises,13300
Clark Construction Group,13300
McDaniel & Mcdaniel,13300
Beaman Automotive Group,13300
Coastal Companies,13300
Medtronic Inc,13300
Cox Brothers Farms,13292
Depcom Power,13250
Smucker Co,13250
Oklahoma State University,13220
Invenergy LLC,13200
Lathrop & Gage,13200
Modern Group,13200
Ngl Energy Partners,13200
Frontline Insurance,13200
Hilldrup Companies,13200
Offit Capital Advisors,13200
GJ Grewe Inc,13100
Hart Health Strategies,13100
Kirby Corp,13100
Great Southern Wood Preserving,13100
"East Carolina Ear, Nose & Thro",13100
Nichols Group,13100
Harrison Group,13050
Auto Care Assn,13000
Jetblue Airways,13000
General Mills,13000
Dean Foods,13000
Livestock Marketing Assn,13000
Westwood Contractors,13000
Associated Equipment Distributors,13000
International Dairy Foods Assn,13000
Roppe Corp,13000
National Grocers Assn,13000
Potomac Strategic Development,13000
Invesco Ltd,13000
BancorpSouth Bank,13000
Ipx 1031,13000
America's Health Insurance Plans,13000
DLA Piper,13000
American Assn of Airport Executives,13000
Nuclear Energy Institute,13000
Forrence Orchards,13000
Hogan Lovells,12970
S&A Homes,12907
Damping Technologies,12900
Hitchcock Automotive Resources,12900
Smith & Nephew,12825
University of Michigan,12800
Central Pa Physicians Group,12800
Case & Assoc,12800
Louisiana Machinery,12800
Crider Poultry Co,12800
Hohlt & Assoc,12800
Discover Financial Services,12750
Wcg Inc,12700
Alro Steel,12700
Try-It Distributing,12700
Protection Strategies,12700
Rent-A-center,12700
Lazarex Cancer Foundation,12700
Council on Foreign Relations,12700
Thermo Fisher Scientific,12620
Doug Anderson Farms,12600
Lee Container Corp,12600
S&P Global,12595
Rocky Research,12555
New Boston Ventures,12527
United Food & Commercial Workers Union,12503
Globe Life,12500
International Bottled Water Assn,12500
Associated Urological Specialists,12500
Halliburton Co,12500
Asplundh Tree Expert Co,12500
Avonhurst,12500
Atmos Energy,12500
OrthoCarolina PA,12500
High Tech Co,12500
Titan Farms,12500
Pra Administrative Services,12500
Quapaw Tribe,12500
Biogen,12500
Woolpert Inc,12500
Apollo Education Group,12500
Blue Cross & Blue Shield Assn,12500
Covenant Health,12450
JA Green & Co,12300
Repower South,12300
Monroe College,12250
Quimby Ventures LLC,12225
Macerich Co,12224
Pegasystems Inc,12205
Reeve Cattle Co,12200
Next Generation Underwriters,12200
Jim Click Automotive,12200
Old Durham Wood,12200
CEA Group,12200
Grosvenor Capital Management,12200
Building Industry Partners,12200
Petoskey Plastics,12200
"Keating, Muething & Klekamp",12150
Wayfair LLC,12134
Nuvance Health,12100
Stonerise Healthcare,12100
Jones Management Services,12100
Livingston Group,12040
Common Sense Common Solutions,12000
American Pilots Assn,12000
"Baylor, Scott & White Health",12000
Kirlin Co,12000
Freedom's Defense Fund,12000
Ready Mix Concrete,12000
Outdoor Amusement Business Assn,12000
Olin Corp,12000
JBS USA,12000
Outdoor Advertising Assn of America,12000
Valov & Sons Farming,12000
Osi Systems,12000
Leach Capital,11929
Beth Israel Deaconess Medical Center,11921
Coldwell Banker,11904
Cox Oil,11900
Fulton construction,11900
Beacon Capital Partners,11900
Capital Group,11900
Gator's Towing,11846
Tempest Capital,11802
AVI Foodsystems,11800
Starline Inc,11800
Waters & Kraus,11735
Civitas Public Affairs,11700
Meredith Management,11700
Abbey Group,11700
Cl Thomas Inc,11700
Donoho Insurance Agency,11700
Mustang Cat,11700
Firstbank,11700
American Pharmacists Assn,11700
First Watch Restaurants,11700
Noco Energy,11700
State of Alabama,11650
SAS Institute,11610
Basic Carbide,11600
Wade Inc,11600
Hoffman Construction,11600
Silver Companies,11600
Puckerbutt Pepper Co,11600
Gladstone Capital,11600
Venture,11600
Hillwood,11600
Transportation Impact,11550
"Davis, Polk & Wardwell",11532
Universal Music Group,11500
American Veterinary Medical Assn,11500
Amneal Pharmaceuticals,11500
Friends of Glenn Thompson,11500
Elbit Systems of America,11500
PLS Financial Services,11500
Transportation Intermediaries Assn,11500
White Pine Capital Management,11500
Charter Schools Action,11500
Susser Holdings,11467
Healthmark Ventures,11450
Cooper Levenson,11450
Friends of Medical Research,11400
Silverstone Group,11400
Valuehealth,11400
American Pawn Superstores,11400
Salem Leasing Corp,11400
Express Employment Professionals,11400
Coastal Agro Business,11400
Public Service Enterprise Group,11393
State of New York,11388
Jeff PAC,11309
Costco Wholesale,11303
Atlas Strategy Group,11300
Compco Industries,11250
Hendrick Automotive,11250
Evercore,11205
Charles Schwab & Co,11203
New Balance Athletics,11200
Bcbs,11200
Pragmatic Marketing,11200
Lrico Services,11200
Witkoff Group,11200
Chesapeake Shipbuilding,11200
Pritzker Group,11200
Cone Elevator,11200
Timber Ridge Builders,11200
McDougal Companies,11200
McCullough Oil Co,11200
FirstCash Inc,11200
Harmac Medical Products,11200
Harbour Group,11200
Connors Family Foundation,11200
Southern Elevator Co,11200
Orscheln Products,11200
Gus Machado Ford,11200
Capital Partners Management,11200
Conference America,11200
Pet Flavors Inc,11200
Home Surety Title & Escrow,11200
Q Sushi,11200
Spirit Holdings,11200
Sportsman's Market,11200
Kramer Design Group,11200
Chartwell Strategy Group,11200
AXA Advisors,11200
Taal Capital,11200
Hamister Group,11200
FST Sand & Gravel,11200
Alliance Building Solutions,11200
TD Assoc,11200
Banner Engineering,11200
"Ziffren, Brittenham et al",11200
Kykenkee Inc,11200
Phoenix Distributing,11200
Matilda Stream Management,11200
Pitigliano Farms,11200
Kykenkee,11200
Hydrohoist,11200
Krist Oil,11200
Pinegar Sales,11200
Csm Inc,11200
J Milton & Assoc,11200
Fambran Enterprises,11200
Altec Inc,11200
Brain & Spine Center,11200
Besse Forest Products,11200
Boyne Resorts,11200
St Augustine Alligator Farm,11200
DFT Energy Lp,11200
Standard Textile,11200
Star Lumber,11200
Marsh Wortham,11200
80 Vilano Road LLC,11200
Martin Organization,11200
Rentpath,11200
303 Management,11200
Stedman West Interests,11200
Knoxville Museum of Art,11200
Community Bank of Texas,11200
Alticor Inc,11200
Cepia,11200
Cequel III,11200
Allen Exploration,11200
Winona Radio,11200
Alan Jay Automotive,11200
MS Management Corp,11200
Gc Partners,11200
Scv Cmte on Aging,11200
Royal Group Investments,11200
Creativeone,11200
Blackridge,11200
Higher Education Partners,11200
Carroll Companies,11200
Galliker Dairy,11200
Lee Properties,11200
Clack Corp,11200
White-Spunner Construction,11200
Buffalo Cardiology,11200
Adage Capital,11200
Senator Investment Group,11200
Air Products & Chemicals Inc,11200
Pate Campbell Properties,11200
American Medical Facilities Management,11200
Guitar Ranches LP,11200
Jvc Investment Partners,11200
North Alabama Fabricating Co,11200
Rtp Co,11200
Med Emporium,11200
Further Global,11200
Dorsett's Technologies,11200
Aviation Consulting & Engineering Solu,11200
Carlisle Insurance,11200
Applegarth Dermatology,11200
Det Distributing,11200
Saginaw Chippewa Indian Tribe,11200
Mita Management,11200
Quyp Holdings LLC,11200
General Catalyst Partners,11200
Ultimate Fighting Championship,11200
Ub,11200
Mechanical Systems Inc,11200
General Atlantic Corp,11200
Cove Hill Partners,11200
Adventum Investments,11200
Krupp Family Foundation,11200
Demmer Corp,11200
Donaghy Sales,11200
Addicus LLC,11200
Lessac Technologies,11200
Ak-Chin Indian Community,11200
Sequoia Capital,11200
Sexton Companies,11200
Ayers Foundation,11200
Malvaney & Assoc,11200
Hilltop Holdings,11200
Bi-Con Services,11200
Intrexon,11200
Trans National Group,11200
Silgan Holdings,11200
Davis Family Holdings,11200
Mid Am Building Supply,11200
Dart Transit,11200
Associa,11200
Carlisle Corp,11200
Map Development LLC,11200
McGinty Machine Co,11200
Anderson Media,11200
Riccobene & Assoc Dentistry,11200
NFG Energy Services,11200
Andrews Distributing,11200
Laura & John Arnold Foundation,11200
Orscheln Management,11200
Hilldun Corp,11200
Musco Family Olive,11200
Corry Capital Advisors,11200
Willard Asphalt,11200
Bergen Pain Management,11200
Noble Environmental Inc,11200
Fulham & Co,11200
American International Group,11200
Trinity Yachts,11200
Fritz Inc,11200
Midwest Poultry Services,11200
Shinnecock Hardware,11200
Clayton Homes,11150
Zeus Inc,11145
Londen Insurance Group,11100
Irby Investments,11100
Sis,11100
Bsi Constructors,11100
Healthnow New York,11100
Cookeville Regional Medical Center,11100
International Auto Logistics,11000
General Aviation Manufacturers Assn,11000
National Milk Producers Federation,11000
HTH Companies,11000
BMO Financial Corp,11000
Stockyards Hotel,11000
Boyle Investment Co,11000
Asset Advisors,11000
Inforeliance Corp,11000
Shel-Don Inc,11000
Interactive Brokers,11000
Isc,11000
Katie's Seafood Market,11000
Gainsco,11000
Friedman Center for Eating Disorders,11000
Ocean Spray Cranberries,11000
American Occupational Therapy Assn,11000
Southern Illinois GI Specialists,11000
Ball Consulting Group,11000
Memorial Health System,11000
Lancaster Development,11000
Lee PAC,11000
Citizens National Bank,11000
Walgreens,11000
Landmark Homes,11000
Deroyal,11000
Lee Timber,11000
Cheney Brothers,10992
Boston Red Sox,10945
Charles Ingram Lumber,10900
Burke Motor Group,10900
Mabrey Bank,10900
Netherland Rubber,10900
Clinical Reference Laboratory,10900
"Cadwalader, Wickersham & Taft",10850
Good Will Publishers,10850
Bevans Oyster Co,10800
Club Corp International,10800
Western Rim Properties,10800
Radiology Inc,10800
K&N LLC,10800
Truman Arnold Companies,10800
Marmie Motors,10800
Schumacher Group,10800
Plains Capital Corp,10800
Gold Metal Recyclers,10800
Lucas Oil Products,10800
Franklin L Haney Co,10800
Primera Technology,10800
Gund Investment Corp,10800
Hmr Veterans Services,10800
Kumar Family Limited Partnership,10800
Jomax Construction,10750
CHS Inc,10750
Pitlik & Wick,10750
Indeck Energy Services,10750
Kumar Family LP,10700
Blank Rome LLP,10700
Jones Walker LLP,10700
Brown Brothers Harriman & Co,10700
McS Fab & Machining,10650
Bay Ltd,10635
Arabesque Inc,10600
Rj Machine,10600
Blairex Laboratories,10600
Chertoff Group,10600
Nelson Farms Inc,10600
High Meadows Foundation,10600
Midtown Dental,10600
Varischetti & Sons,10600
Berkeley College,10600
Putzke Horse Farm,10600
Maeva Group,10600
Old State House Museum,10600
Analyst Group,10600
Cpi Security Systems,10600
Foote Cattle Co,10600
Elcan & Assoc,10600
Hanover Co,10600
ECPI College of Technology,10600
DRG Holdings LLC,10600
Shockey Management Co,10600
Law Office of Charles Kannebecker,10600
Towne Properties,10600
J&M Recycling & Consulting,10600
Sinclair Broadcast Group,10600
Hammer Lgc,10600
Christie Campus Health,10600
Wallace & Graham,10600
Hanna Capital LLC,10600
Ciena Healthcare,10600
Smith Asset Management,10600
Venture Corp,10600
"Fox, Paine & Co",10600
Keller Investment Properties,10600
Foundation Management Services,10600
Eastern Shipbuilding Group,10600
Durandal Inc,10600
Palmer Ranch Holdings,10600
Harvest Bible Church,10600
Welch Group,10600
California Water Service Group,10600
Broadfin Capital,10600
Anchor Stone,10600
Sewell Automotive,10600
Alevy & Assoc,10600
David E Ross Construction,10600
Village Green Corp,10600
Unaka Corp,10600
Momentum Transportation,10600
Fabric Innovations,10600
Carewise Health,10600
Chartwell Staffing Solutions,10600
Storage Pros Management,10600
Industrial Valve,10600
American Residential Group,10600
Marcus G Faust Attorney at Law,10600
Equinox Partners,10600
Bravia Capital Partners,10600
Ml Motorsports,10600
Phoenix Coal Sales,10600
Strong Industries,10600
Koch Enterprises,10600
Bkm Group,10600
Arvest Bank Group,10600
Advanced Trade Services,10600
Boston Provident,10600
Lipseys Inc,10600
LPL Management,10600
Peoplelink LLC,10600
Wkm Properties,10600
Farbest Foods,10600
Professional Eye Care,10600
McGregor & Assoc,10600
Hogan Group,10600
Pine Telephone,10600
Breuer & Co,10600
Burger Buster Restaurants,10600
Zions Bank,10600
Mngt Analysis & Utlization,10600
Pinnacle Bancorp,10600
Libiano Investments,10550
Vornado Realty Trust,10545
AON Corp,10500
Lee Industries,10500
Rite Aid Corp,10500
Bates Amusement,10500
Novartis Corp,10500
Airbus Group,10500
Commerce Equities,10500
Wagman Inc,10500
Building America's Republican Representation,10500
American Lighting Assn,10500
Trilogy Real Estate Group,10500
Chesapeake PAC,10500
Southwest Gas,10500
Ingram Industries,10500
Wakefern Food,10500
Menards Inc,10401
Chartwell,10400
Beal Bank (Employees),10400
Fry Eye Assoc,10400
Clauss Dairy Farms,10400
Mercury Air Group,10400
Leading Builders of America,10400
Diederich Insurance Agency,10400
21st Mortgage,10400
Installs Inc,10400
McEntire Limited Partnership,10400
Thompson Sales Co,10400
A Wilsey Properties,10400
Primary Care Center,10400
Putnam Bridge,10400
Belz Enterprises,10400
Ck Companies,10400
Westcott LLC,10400
Oak Ridge National Laboratory,10300
De Cardenas Law Group,10300
Wichita Urology Group,10300
Community Bank of Raymore,10250
Um Holdings,10216
Action Floor Systems,10200
FRP Holdings,10200
Coordinates Operations,10200
Westervelt Co,10200
Recreational Fishing Alliance,10150
ONEOK Inc,10125
Hein Governmental Consulting,10100
Responsibility & Freedom Work PAC,10000
Douglas E Barnhart Inc,10000
Gun Owners of America,10000
Operating Engineers Local 18,10000
Restoring Our Nation PAC,10000
Jevz Vamc,10000
Micronova Manufacturing Co,10000
Saltchuk Resources,10000
John Bolton PAC,10000
Lockton Inc,10000
Beer Institute,10000
North American Meat Institute,10000
Bell Legal Group,10000
Gershow Recycling,10000
Tw Lewis Co,10000
North Carolina Farm Bureau,10000
Golden Age Farms,10000
North American Coal Corp,10000
Ribcrib,10000
Ciena Healthcare Management,10000
Ag Seeds Unlimited,10000
Jet PAC,10000
Agri Beef,10000
Michigan Cat,10000
Agricultural Retailers Assn,10000
No Labels Problem Solvers,10000
American Postal Workers Union,10000
Robert Family No 1 LLC,10000
Nomura Holding America,10000
GOPAC,10000
Shipbuilders Council of America,10000
Microflex Inc,10000
Oorah! PAC,10000
Denali Leadership PAC,10000
Tree Care Industry Assn,10000
National Assn of Prof Insurance Agents,10000
Alzheimer's Assn,10000
Tenn PAC,10000
Constellation Brands,10000
ITG Brands,10000
AmeriPAC: The Fund for a Greater America,10000
LafargeHolcim,10000
Primerica Inc,10000
Pelican PAC,10000
Project West PAC,10000
Cooper Farms,10000
Prosperity Action,10000
National Assn of Enrolled Agents,10000
Virginia Foxx for Congress,10000
Wild & Wonderful PAC,10000
National Assn of EMS Physicians,10000
Kinsley Construction,10000
Nebraska Sandhills PAC,10000
Farragut Partners,10000
Sterling Group,10000
Western Sugar Cooperative,10000
Aluminum Assn,10000
Synchrony Financial,10000
National Franchisee Assn,10000
Pine Telephone Co,10000
Ibt Inc,10000
Summer Park Realty LLC,10000
TCC Holdings LLC,10000
Cfbc LLC,10000
Suffolk County Correction Officers Assn,10000
Equitrans Midstream Corp,10000
Bank Policy Institute,10000
Strategic Consulting,10000
Allergan Inc,10000
Arsenal Capital Partners,10000
Zeeco Inc,10000
Tell Manufacturing,10000
PotlatchDeltic Corp,10000
Farmers' Rice Cooperative,10000
American Academy of Neurology,10000
EmergeOrtho,10000
AG Processing,10000
New York Republican Federal Campaign Cmte,10000
Dirigo PAC,10000
Society for Cardiovascular Angiography,10000
BYRNE PAC,10000
Tomorrow Is Meaningful,10000
Page Interworks PA,10000
Four Sevens Oil,10000
Alan White Companies,10000
Crownquest Operating,10000
Crsc LLC,10000
Slawson Exploration,10000
American Consolidated Natural Resources,10000
Silverliner,10000
MARSHA PAC,10000
Transport Workers Union,10000
Republican National Cmte,10000
Food Marketing Institute,10000
Next Century Fund,10000
International Wood Products Assn,10000
California Rice Industry Assn,10000
American Academy of Physician Assistants,10000
RADPAC,10000
Appalacian Recovery Center,10000
California Farm Bureau,10000
Southern Co Gas,10000
"Jobs, Opportunity & New Ideas PAC",10000
International Speedway,10000
American Communications Network,10000
John Clark Oil,9999
Ed South Financial,9950
Eastern Radiologists,9900
UGI Corp,9900
PeopleTec Inc,9850
Cadrillion Capital,9850
Western & Southern Financial Group,9800
Novo Nordisk,9800
Fabiano Brothers,9800
Koser Radio Group,9600
Plastipak Packaging,9600
"Pressler, Felt & Warshaw",9600
Volunteer Development,9600
Maidenbaum & Sternberg Llp,9600
Staghorn Petroleum,9600
Barker Industries,9600
Lindsay Windows,9600
Hartwell Capitol Consulting,9600
Stellar Family of Los,9600
Orgill Inc,9600
Flaum Management,9550
Michigan Farm Bureau,9550
Captain Higgins for Congress,9500
Astellas US,9500
Parker-Hannifin,9500
Denbury Resources,9500
United Postmasters & Managers of America,9500
Sutliff Chevrolet,9500
Somerset Wood Products,9500
American Cotton Shippers Assn,9500
Tennova,9475
Interior Logistics,9400
GC Land Development,9400
Creative Consumer Concepts,9400
Peoples National Bank,9400
Campbell Companies,9400
Sterling Commodities,9400
Bob Riley & Assoc,9400
Novare Group,9400
Encompass Health,9400
Pine Bluff Sand & Gravel,9300
Claxton Poultry Farms,9300
Pivotal Group,9300
Bracewell LLP,9300
Suffolk County Police Benevolent Assn,9200
Cincinnati Bengals,9200
Crye-Leike Stedman Realtors,9200
Kennedy Timber LLC,9100
Castellini Co,9100
Apex Asset Management,9100
Kwik Trip Co,9100
Anderson Trucking Service,9000
Abbvie Inc,9000
Shipley Energy,9000
Indiana ACRE,9000
Resolute FP US,9000
Leadership for Enterprise & Opportunity,9000
Grace Clinic,9000
Your Voice Counts,9000
Centrus Energy,9000
Western Growers Assn,9000
California Citrus Mutual,9000
Edwards Lifesciences,9000
Natco Products,9000
Rajant Corp,8996
Providence Anesthesiology Assoc,8950
STATE OF WISCONSIN,8935
Hartung Brothers Inc,8900
Pontchartrain Partners,8900
Thomas Investment Partners,8900
Me Devco Nc Ltd,8900
Northwest Savings Bank,8900
Consolidated Nuclear Security,8850
Community Chiropractic & Wellness Cent,8800
Alliance Rental Solutions,8800
Oneida Indian Nation,8800
B&R Electronics,8800
Plains All American Pipeline,8800
Ed Voyles Automotive Group,8800
Kenney Companies,8800
Fred Keller for Congress,8750
Forcht Group of Kentucky,8750
American Society of Travel Advisors,8740
McKeon Group,8700
Tellurian Inc,8700
Frost Brown Todd LLC,8675
Jeunesse,8675
Auerbach Realty Holdings,8666
Incrediblebank,8650
Cowles Parkway Ford,8650
Fiduciary Management Inc,8600
Commonwealth of Pennsylvania,8600
Spectra Tech,8600
Leaders Staffing LLC,8600
Hotel Industry,8600
Madera Residential,8600
Herr Foods,8600
Brazeway Inc,8600
Hutchens Law Firm,8600
Leon Levine Foundation,8600
Circle S Ranch,8550
Precious Hotel Interiors,8550
Tyson Foods,8535
EOG Resources,8525
Amentum Services,8500
Incredible Bank,8500
Tripp Auto Repairs,8500
Nike Inc,8500
"Kelley, Drye & Warren",8500
East Carolina University,8500
Freedom Club of America,8500
Centennial Bank,8500
Knight Swift Transportation,8500
Wine Institute,8500
Senior Care Pharmacy Coalition,8500
FMC Corp,8500
Upper Hand Fund,8500
National Council of Farmer Co-Ops,8500
Impact Cmte,8500
Sun Life Financial,8500
Astn Group,8450
Hitchcock Automotive,8417
Edwin M Jones Oil Co,8400
Sas Builders,8400
Energy Transportation,8400
Cronimet Corp,8400
RW Baird & Co,8400
Park Circle Investments,8400
Fogelman Management Group,8400
NFP Corp,8400
Egypt Valley Stone,8400
Inv LLC,8400
Don Baskin Truck Sales LLC,8400
Lifetime Brands,8400
Cambria,8400
Lad Services of La,8400
Deltak Manufacturing,8400
Scheels,8400
Besse Forest Products Management,8400
Wbl Capital,8400
Harrington Farms,8400
Rappaport Companies,8400
Tonio Burgos & Assoc,8400
Oaktree Capital Management,8400
B&G Food Enterprises,8400
Law Firm of Bernie M Kustoff,8400
Oakwood Laboratories,8400
Apple Inc,8400
New Industries,8400
Clyde's of Georgetown,8400
Wesley,8400
Buffalo Niagara Medical Campus,8400
Fidelity Bank,8400
Stanton Llp,8400
Cohen-Esrey LLC,8400
McFall & Barry Landscape Management,8400
Emerick Construction,8400
Jim Wilson & Assoc,8400
Penske Truck Leasing,8400
Allegheny Wood Products,8400
Sport Clips Inc,8400
Coastal Welding Supply,8400
Gibco Construction,8400
Hico Seeds,8400
Psalms 127 LLC,8400
John Lewis Co,8400
Herzog LLC,8400
Baxter Enterprises,8400
Giorgi Companies,8400
Genesys Global,8400
Sun Valley Rice,8400
Centaurus Financial,8400
Herbert Homes,8400
Nulton Diagnostic & Treatment,8400
Quikrete Companies,8400
Thompson Gray,8400
ALG Senior Care,8400
Tower Loan,8400
Hanesbrands Inc,8400
Silberline Manufacturing,8400
Gaines & Co,8400
Cannon Heyman & Weiss,8400
Port Aggregates Inc,8400
Kali P Chaudhuri MD,8400
North American Midway Entertainment,8400
Rennes Group,8400
Stripe-A-Zone Inc,8400
Trideum Corp,8400
Musson Brothers Inc,8400
Dwight Shugert Farms,8400
Jack Lawton Inc,8400
Lowen Corp,8400
Gaming Capital Group,8400
Green Resource,8400
Bill Fenech,8400
Porter & Korvick PA,8400
Compliance Management,8400
Independent Bank,8400
Daigle Industries,8400
Kbs Inc,8400
Peterson Companies,8400
Fairway Ford,8400
Verde Pointe Dental,8400
Isi Environmental,8400
"Dabbs, Hickman et al",8400
Dannenbaum Engineering,8400
Griffin Companies,8400
H&R Agri Power,8400
Variety Wholesalers,8400
Jpi,8400
Dulany Ind,8400
Vann Brothers,8400
River Valley Bank,8400
Morris Jenkins Co,8400
McAllister & Assoc,8400
Kourtis Property Management,8400
Lovell Minnick Partners,8400
Excellence In Mri,8396
KEY ANIMAL CLINIC,8350
McGee Brothers Corp,8300
Parvin Law Group,8300
Happy Sd Cleaners,8300
Brown Gibbons Lang & Co,8300
Qualis Corp,8300
Fastenal Co,8300
Ecca,8300
Willbrook Solutions,8300
Royal Oak Corp,8300
Anderson Seafoods,8300
Cincinnati Financial,8300
King Trucking,8300
Universal Health Services,8300
